Chloe K.,/user_details?userid=YvVgMUzdboi4yHy8xnuf5Q,"Los Angeles, CA",3/3/2023,5.0,"Edy and Josh are the BEST bartenders. We had a great time, drinks were amazing! Have gone twice now and will definitely be back"
Evan C.,/user_details?userid=wVKayV3u7nXTUVlaDLdNlA,"New York, NY",3/25/2023,5.0,"Good food, good service and good vibe. Drinks have some Chinese twists. Highly recommend!"
Cheng-En C.,/user_details?userid=xiYljz3C5k2elLAQpojwmg,"Lower East Side, New York, NY",3/25/2023,5.0,Food is great! I like how they present traditional chinese food in a new way! Highly recommend
Maggie B.,/user_details?userid=jNKKoDWxBcSFRYNvA2hqBA,"New York, NY",4/1/2023,5.0,No comment
Elaine C.,/user_details?userid=QfyHMvAP5S3bDHR37zXEFQ,"New York, NY",4/7/2023,4.0,No comment
JingJing X.,/user_details?userid=TYtGf59rqNAYFylGNTCiPA,"New York, NY",3/25/2023,3.0,No comment
Elsie W.,/user_details?userid=mDBAmEsyxuVTTT70dK-dqA,"Manhattan, NY",2/28/2023,5.0,No comment
Carin Y.,/user_details?userid=I-OUT8rDhzAxMOvIyk6cjw,"Washington, DC",3/6/2023,4.0,No comment
Iris F.,/user_details?userid=qxqJRxvUAYZAjk0P7Rkgig,"New York, NY",3/21/2023,4.0,"Cool vibes/decor and great drinks! I opted for the bird's nest since the bartender said it tastes the least like alcohol compared to everything else on the whole menu lol. It was pretty good and very sweet, not one of the best drinks I've had but in general I liked how creative the drink menu was! Especially as a Chinese American recognizing a bunch of cultural references in the drink names, and the unique Chinese ingredients that are mixed into the drinks. In terms of food, I liked the truffle mushroom salad the most bc the flavors were on point. Pork belly was okay to me, I felt like the portions were way too small and could have been more tender. Crab fried rice was solid though!"
Selena L.,/user_details?userid=r1ipevFxLwXc5wGDzysCnw,"Berkeley, CA",2/23/2023,5.0,No comment
Kaye M.,/user_details?userid=xFnsZlFdoCFEXX5drQzWrQ,"Los Angeles, CA",5/2/2017,5.0,"Fantastic experience, from the food, to the service, to the decor. We had multiple apps (the fried chicken was so good we had to order a second batch), the octopus, oysters, edamame (best I've ever had - with a nice amount of salt), miso soup, then moved on to the whole fish and rib eye. And, the buttermilk ice cream, with just a hint of ""tang,"" was delicious! We cleaned every plate! I would absolutely recommend this hidden gem and, as an out-of-towner, truly hope I get to return!",https://www.yelp.com/biz/karasu-brooklyn-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Gift B.,/user_details?userid=CusNk8CGIOvveEdqho78QA,"Berlin, Germany",4/30/2017,5.0,"I still give this 5 stars, quality is still solid from when it's existence wasn't even advertised yet. Great cocktails and good sake menu. The Koji ribeye for two was right on the money.",https://www.yelp.com/biz/karasu-brooklyn-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Eve C.,/user_details?userid=rVM2nY4lumldGHMFB3fcoQ,"New York, NY",11/9/2016,5.0,This is a terrific hidden gem behind Walters- go thru Walters to the door in the rear. The food is the best Japanese I've had in Brooklyn maybe all of NYC. Truly a find. Romantic space too. eat up!,https://www.yelp.com/biz/karasu-brooklyn-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Sid P.,/user_details?userid=vNe4QiwTnblskqUMeYq8jg,"New York, NY",6/27/2018,5.0,No comment,https://www.yelp.com/biz/karasu-brooklyn-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Toni G.,/user_details?userid=kbSDWZ7Fm3VSGQvqx0tLpg,"Brooklyn, Brooklyn, NY",12/7/2017,4.0,"My new local! I love this place. The staff is so charming, the menu is delightful, and they serve champagne by the glass.",https://www.yelp.com/biz/karasu-brooklyn-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Abbey Z.,/user_details?userid=8qZp3gspnrCUdQWNp-PcBg,"Brooklyn, NY",5/30/2019,3.0,"I have been to Karasu many times, have brought family here and have raved about it to friends.  I was a big fan and supporter.  I came here last night and was utterly disappointed.  We tried 2 new (to us) dishes - the shrimp and the crab salad.  The shrimp was basically boiled shrimp with little extra flavor - nothing special (for $19), do not get.  The crab salad was also disappointing - it was just small and the flavors were not there.  The fried chicken was definitely good (we have always loved the fried chicken here) but it did not melt in our mouths like times past.  The beloved ribeye, which we also usually rave about, was just not as good as previously - it was chewy in many parts and just did not meet expectations.  I am hoping this was just an off night but the quality of the food seems to have gone down considerably and I can no longer congratulate it.  Also a salmon starter dish that we loved before (I believe lightly seared and it also melted in your mouth) was off the menu - another disappointment and sweet potato jumped from $6 to $10!  I hope Karasu works harder to regain quality they had previously.",https://www.yelp.com/biz/karasu-brooklyn-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Heidi B.,/user_details?userid=My0hawXudbtYlbSPVrLkcA,"Yakima, WA",4/1/2017,4.0,"Fantastic ribeye (we've come back just for the beef), good cocktails, and interesting apps/sides.  Great vibe and mid-range prices.  Nice foodie-oriented wait staff.",https://www.yelp.com/biz/karasu-brooklyn-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Andrew H.,/user_details?userid=wRPMnXs_W7p0tXe_pzPwng,"San Francisco, CA",1/2/2017,3.0,"Eh. Atmosphere is cute but food was severely underwhelming, and drinks didn't live up to the hype. And it's expensive! There were lots of bones in the sashimi (!), and everything else (octopus sunomono, seafood udon, pickled vegetables, mushrooms) was bland and portions were tiny. Wouldn't go back!",https://www.yelp.com/biz/karasu-brooklyn-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Dilya F.,/user_details?userid=tkTnhxQVyloGLm0MYFOsDQ,"Brooklyn, NY",9/30/2016,2.0,"Unfortunately we were not impressed. We go out to eat a lot, I read an article couple of months ago, saw pretty good reviews her on Yelp and decided to take my husband here (he did not want to go). When we came in we were pretty excited, the place looks very intimate, however once we took a look at the menu we were turned off. Menu is very limited, prices are way too high. We have been to quiet a few Japanese restaurants and this is by far one of the worst. The edamame does not need a citrusy zest, the eggplant was not anything special just a poorly pickled vegg, we really wanted some raw fish (they just offered good old herring which I would only get at a Russian restaurant), and the dorado was somewhat decent. I honestly would never go back, I was quiet disappointed that my husband stayed pretty hungry after we left since nothing tastes good it was just ok. We were hungry so we had to eat. The scotch is very very overpriced. You do not have to pay$ 26 for a mediocre scotch and barely an ounce pour. Overall i would not go back and do not recommend to get the dishes we got. May be others like it but if you enjoy good Japanese go to Zuma!",https://www.yelp.com/biz/karasu-brooklyn-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Ariele F.,/user_details?userid=lbnQrfnKIA5AOKy4HTbwgA,"Manhattan, New York, NY",3/5/2017,5.0,"Creative dishes, excellent service, and overall amazing experience. Karasu is one of the best hidden gems in NYC. Its versatile vibe is well suited to groups of friends or a romantic date. This is a fast favorite for thoughtful Japanese dishes that are perfectly paired with craft cocktails. Led by two brilliant chefs, Karasu is set to be a fixture in the global culinary scene.",https://www.yelp.com/biz/karasu-brooklyn-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
David M.,/user_details?userid=xI0qm9MwwHuXDZMJWB0o9Q,"Brooklyn, NY",10/30/2016,5.0,"Small place, but cozy ambiance. Great drinks, nice bar  nice staff, great food. Very small menu, but I have a weakness for tonkatsu and this is by far the best tonkatsu I've had in the US - maybe even in Japan because I didn't used to go to fancy restaurants there. The whole fish was also very good - maybe a tiny bit salty but done perfectly. Highly recommended.",https://www.yelp.com/biz/karasu-brooklyn-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Mary E.,/user_details?userid=9-CXzvzAsbqW9kHm0lN0_Q,"Honolulu, HI",2/27/2023,4.0,No comment,https://www.yelp.com/biz/go-go-curry-new-york-33?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Anna D.,/user_details?userid=SYJzu_zmWTKwVhWtMfGgtQ,"New York, NY",3/17/2023,2.0,No comment,https://www.yelp.com/biz/go-go-curry-new-york-33?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Sofyan S.,/user_details?userid=SYXe1HJXcRKN8lgtBXPhfA,"New York, NY",2/10/2023,4.0,No comment,https://www.yelp.com/biz/go-go-curry-new-york-33?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Nafis S.,/user_details?userid=XxnhVFJWlxtUs6ewC-1d1A,"Queens, NY",3/15/2023,5.0,"Best Japanese curry in my opinion, they are consistent and quick. If you want a good meal, I would definitely recommend this chain restaurant.",https://www.yelp.com/biz/go-go-curry-new-york-33?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Jason L.,/user_details?userid=3mqf4MgAIT8Yl-MtTwf17g,"Queens, NY",12/2/2022,5.0,"Came here for chicken katsu curry. The sauce was delicious and sweet. The tempura and sausage adds additional flavour. The chicken is fragile and crispy. Recommend to eat slowly. Overall, the meal is fulfilling as one whole meal.",https://www.yelp.com/biz/go-go-curry-new-york-33?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Hezron J.,/user_details?userid=ai2Fr8XfBZXivVePSuxRxw,"Lynbrook, NY",8/16/2022,5.0,No comment,https://www.yelp.com/biz/go-go-curry-new-york-33?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Ellie D.,/user_details?userid=y1KxwZzKI0EmtIbrcdF9iw,"Arlington, VA",7/27/2022,4.0,"Great spot for a quick and delicious bite to eat. I love their katsu, enjoy their sauce, and always have a hard time deciding which of the many add-ons/options I want to enjoy. If you're hungry and in the area, stop by. And if you're hungry and not in the area, travel to a Go! Go! Curry! near you.",https://www.yelp.com/biz/go-go-curry-new-york-33?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Aakruti V.,/user_details?userid=zVOt4O3IEqzno_vSPxySZw,"Manhattan, NY",1/30/2021,4.0,No comment,https://www.yelp.com/biz/go-go-curry-new-york-33?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Kevin K.,/user_details?userid=jn-8n9b-kAlGFKmygWnjDw,"Brooklyn, NY",8/22/2021,2.0,No comment,https://www.yelp.com/biz/go-go-curry-new-york-33?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Shawn S.,/user_details?userid=alZyE_1vXV4rL4FfNEzRMA,"FOREST HILLS, NY",1/27/2022,1.0,No comment,https://www.yelp.com/biz/go-go-curry-new-york-33?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Fred G.,/user_details?userid=ZFNzr-yCTidiaX8m3Zlzhg,"Manhattan, New York, NY",10/31/2022,4.0,Food was tasty. I felt like the portions were fair for the price. Ill be honest and say it was good the best Japanese curry out there but was definitely good for fast food. Service was good. Nice staff. This location has a small dining area.,https://www.yelp.com/biz/go-go-curry-new-york-33?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Kenneth K.,/user_details?userid=n5SaSyHG7KJhiSWsc9_niw,"Manhattan, New York, NY",6/21/2022,5.0,"Great portion for the price. Curry dish we got was really good. The rice was well done. the fried Chicken meat slices were deliciously cooked. The curry was flavorful and wasnt too spicy at all. The space is small so order quickly. If you like Japanese Curry and youre in the area, try this place out",https://www.yelp.com/biz/go-go-curry-new-york-33?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Rita G.,/user_details?userid=Zt28GF3lYxVd2q8vICnkBQ,"Palm Beach Gardens, FL",8/22/2022,5.0,Super good.  Nothin fancy but worth to try . Dont miss this place near  Brooklyn bridge,https://www.yelp.com/biz/go-go-curry-new-york-33?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Chris P.,/user_details?userid=o7Ie0sJNZqF-QUIII0VVJQ,"ELMHURST, NY",9/12/2020,5.0,No comment,https://www.yelp.com/biz/go-go-curry-new-york-33?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Monty C.,/user_details?userid=2863ECeeWI-l5hR1O8Qa2Q,"San Francisco, CA",7/21/2022,1.0,No comment,https://www.yelp.com/biz/go-go-curry-new-york-33?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Jack W.,/user_details?userid=OoyPhsRVVGpCdwl-i4CPnA,"New York, NY",10/11/2020,3.0,No comment,https://www.yelp.com/biz/go-go-curry-new-york-33?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Michael Y.,/user_details?userid=RTTMsplbxNb61fujtFz23g,"New York, NY",5/15/2021,4.0,No comment,https://www.yelp.com/biz/go-go-curry-new-york-33?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Muhammad M.,/user_details?userid=fGwFTS9fcf_jBtx3k6GinA,"Pine, CO",1/4/2022,5.0,Hey guys I will tell you about this place this is very nice wonderful please I have good experience about this this make me happy there is a family environment friendly environment all the employee for friendly and honest recommended all new user for this place ok thanks,https://www.yelp.com/biz/go-go-curry-new-york-33?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Lin X.,/user_details?userid=DA153CegEbQFL5ppIxan4w,"New York, NY",12/13/2021,4.0,Big portions and convenient! The shop is small but the selection is great. The portions are also very generous and lasts me 2 meals! The ration of curry to rice is also very good. My favorite is the chicken curry. I came in here on a rainy day after a long day out and just wanted something hot and filling. This place did not disappoint. It have decent katsu and the toppings are great,https://www.yelp.com/biz/go-go-curry-new-york-33?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Sam S.,/user_details?userid=iC7SqpsCPSKBFKVqedbrUA,"Brooklyn, Brooklyn, NY",10/6/2021,2.0,No comment,https://www.yelp.com/biz/go-go-curry-new-york-33?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Stephen C.,/user_details?userid=-KeF_Xy4d4h1XfZ-p4T_sA,"New York, NY",6/14/2021,4.0,"What can I say...Go Go Curry has always been my go-to spot for comfort food over the past several years.  There's no better pick-me-up after a long day than inhaling a Home Run Curry.  It comes with a nice mix of katsu, shrimp tempura, sausage and egg to satisfy all of those cravings.  The wings are slightly dry but extremely crispy and the sauce is delectable.  Prices have definitely increased and portion sizes decreased over the past few years but Go Go Curry still remains one of my favorite spots in NYC for some quick, satisfying comfort food!",https://www.yelp.com/biz/go-go-curry-new-york-33?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Elly S.,/user_details?userid=LasxhgKsPUbU6Wifp0O_5w,"New York, NY",7/12/2022,3.0,No comment,https://www.yelp.com/biz/go-go-curry-new-york-33?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Gene P.,/user_details?userid=8GEpUgqEZ82yIIJeChzw1Q,"New York, NY",2/5/2022,1.0,No comment,https://www.yelp.com/biz/go-go-curry-new-york-33?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Ziyan F.,/user_details?userid=0zkdb2jfrV3MdlhLFk4vew,"Arcadia, CA",3/27/2022,2.0,"Ordered takeout and was disappointed with the food, the curry is on the sweeter side and the pork was very dry.",https://www.yelp.com/biz/go-go-curry-new-york-33?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Dayo E.,/user_details?userid=riBnb9QLF-oEgxpTVWZ0QA,"Manhattan, NY",2/13/2021,3.0,Got go go curry recently. I ordered the Sausage curry. It's a dish of rice cabbage curry and sausage. It wasn't as great as the go go curry I had ordered from years before. I also only got 3 sausages which is the standard serving size but I think is a bit too little. The curry in its own right was good and I like the new packaging for the to-go order.,https://www.yelp.com/biz/go-go-curry-new-york-33?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Honghui Y.,/user_details?userid=KxRU2t_MJQmYu0KyiE1nZQ,"Financial District, Manhattan, NY",7/2/2021,4.0,"Great place to grab lunch. I've tried pretty much everything on the menu at this point and everything is good. If you're hungry or indecisive, I'd go with the homerun curry, which gives you a little bit of everything. Vegetarians also need not fear - there's a tofu katsu and veggie tempura option, but just remember to ask for the vegetarian curry sauce as well (I think their default curry has pork in it). The only issue I run into sometimes is that service can be a bit slow. They seem to be short staffed frequently, often with one guy acting as both cook and cashier, so I've had to wait as long as 20 minutes for take out. Not the end of the world, and the food is ultimately worth it when you get it.",https://www.yelp.com/biz/go-go-curry-new-york-33?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Michelle L.,/user_details?userid=QZ3grLRAy7do7inT4OcltQ,"New York, NY",6/27/2019,5.0,No comment,https://www.yelp.com/biz/go-go-curry-new-york-33?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Matthew G.,/user_details?userid=wi6H_sG-hT1ToDE8UaiPhw,"San Mateo, CA",11/9/2021,4.0,"a big ol gorilla size bowl of japanese curry that warms the heart and soul.  on the bottom is a bed of rice.  then you pick your size and your protein.  they have small medium large and xlarge and they measure it by weight.  proteins are chicken or pork katsu, tempura by the piece, shrimp, egg, sausage.  then comes the curry and the cabbage.  they also have some combos where you can try many diff proteins.  the grand slam is a popular one where you can a sample of each.  it can get slow since only one person is working.  its a small place so too many cooks will just be more burdensome than help.  when i crave a quick curry, i come here.  its always consistent and theres multiple locations for wherever you are.",https://www.yelp.com/biz/go-go-curry-new-york-33?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Ken T.,/user_details?userid=_RgFNAmH7Apzf4I9wJG6iA,"Palisades Park, NJ",8/11/2021,5.0,No comment,https://www.yelp.com/biz/go-go-curry-new-york-33?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Katey G.,/user_details?userid=NT5PIrm_5PMIvhKThayOIg,"New York, NY",5/5/2019,4.0,No comment,https://www.yelp.com/biz/go-go-curry-new-york-33?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Lance S.,/user_details?userid=ye9s27kmPIdsHeiw_dlKGw,"New York, NY",8/18/2022,4.0,"Outstanding Japanese curry comfort food.  Fast service, and the counter woman was mega-efficient and friendly.  There's gotta be a reason for that weird gorilla mascot they've got, but ignore that and just get the katsu and you won't think about that gorilla anymore.  Japanese comfort places aren't as abundant as they should be and so glad I found this place.  Dropping the prices slightly would make it five stars.",https://www.yelp.com/biz/go-go-curry-new-york-33?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Mahesh P.,/user_details?userid=68R6fxL2MQMXeyP030qdvg,"Austin, TX",8/24/2019,5.0,No comment,https://www.yelp.com/biz/go-go-curry-new-york-33?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Darren B.,/user_details?userid=9yhFsd5Ajlk6C3Eer0JtQg,"Pittsburgh, PA",8/22/2019,4.0,No comment,https://www.yelp.com/biz/go-go-curry-new-york-33?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Lily T.,/user_details?userid=u6Z1B5YdCLJHEbocIBhQwQ,"New York, NY",3/16/2019,4.0,No comment,https://www.yelp.com/biz/go-go-curry-new-york-33?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Paul P.,/user_details?userid=xxuj3JEDO3J3jhvt-nTqjQ,"North Massapequa, NY",2/6/2020,4.0,Love this quick eats and fast affordable place. Perfect for when youre on the go or even want to have a meal! TThe portions are huge as well as the quality isnt poor! Its flavorful with the loads of curry they ply on. Really love the chicken as the crust was so crispy but the inside so moist. As a college student I appreciate how its so cheap as well as quality is still great! Perfect for cheap eatsand speedy service.,https://www.yelp.com/biz/go-go-curry-new-york-33?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Merrick E.,/user_details?userid=BlAfZ1Nrw_0wkzLiwaWiLQ,"Philadelphia, PA",7/12/2021,3.0,No comment,https://www.yelp.com/biz/go-go-curry-new-york-33?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Kevin C.,/user_details?userid=lAOkhe0OG_hH39bFLlmxaA,"Brooklyn, NY",1/13/2019,4.0,No comment,https://www.yelp.com/biz/go-go-curry-new-york-33?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Danielle L.,/user_details?userid=cOMp8V0rusS59PpKi-JZBA,"Financial District, New York, NY",2/5/2022,1.0,"THE PHOTO IS A LIE!!! They changed their containers and the portions are less than half of what it used to be! I used to enjoy their curry, but to get a child size serving for $50 is just ridiculous. Maybe they think we're stupid and willing to pay $50 for mostly shredded cabbage and a small bite of rice. They're being cheap cutting corners and it shows. I was even part of their genki rewards but clearly that's useless now. Disappointed and no longer a customer. I refuse to support a business that's openly ripping off their loyal customers.",https://www.yelp.com/biz/go-go-curry-new-york-33?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Betty Y.,/user_details?userid=uRhVbKrwF04eTAyXYJkDoA,"Brooklyn, NY",12/4/2019,5.0,No comment,https://www.yelp.com/biz/go-go-curry-new-york-33?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Hui L.,/user_details?userid=F2P9_tATOMNbvUUxTVLHNw,"New York, NY",11/29/2018,4.0,No comment,https://www.yelp.com/biz/go-go-curry-new-york-33?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Anita W.,/user_details?userid=egZRErMuQsvHOWRALqbYwg,"Manhattan, New York, NY",10/12/2019,3.0,No comment,https://www.yelp.com/biz/go-go-curry-new-york-33?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Ryn E.,/user_details?userid=CIhr-8qDcj_ZoBhc-5IZJQ,"New York, NY",10/16/2021,3.0,No. Just go next door to get food. The pork katsu was bland and the whole bowl of curry/veggies/rice that came with it were a little bland. Just not that satisfying.,https://www.yelp.com/biz/go-go-curry-new-york-33?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Michael K.,/user_details?userid=UTovVuEl_BhiKjoKYvshtA,"Clark, NJ",10/13/2019,5.0,No comment,https://www.yelp.com/biz/go-go-curry-new-york-33?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Manna C.,/user_details?userid=xAEu0Kun8SMjONLcyje9wg,"New York, NY",7/25/2018,3.0,No comment,https://www.yelp.com/biz/go-go-curry-new-york-33?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Tony J.,/user_details?userid=0oD7hL4ie7_cwB9gWn8AVA,"Mountain View, CA",12/8/2019,4.0,No comment,https://www.yelp.com/biz/go-go-curry-new-york-33?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
