Saddmun A.,/user_details?userid=5Ujzt9wasye05ZSxMgVhyA,"New York, NY",5/18/2017,4.0,No comment
P D.,/user_details?userid=xcTgy-PsegA3b2KXxBKjlQ,"Flushing, NY",12/31/2016,4.0,"Yum yum yum ! Def worth a pit stop in between that shopping . Food is great , coffee is amazing!",https://www.yelp.com/biz/despa%C3%B1a-fine-foods-and-tapas-cafe-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Namgyal R.,/user_details?userid=l-BHI1difwKFzgPCVMPlwA,"New York, NY",1/4/2013,4.0,No comment,https://www.yelp.com/biz/despa%C3%B1a-fine-foods-and-tapas-cafe-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Michelle L.,/user_details?userid=uw7aLl7wMBW76pWTIQI1mA,"Los Angeles, CA",3/17/2015,5.0,No comment,https://www.yelp.com/biz/despa%C3%B1a-fine-foods-and-tapas-cafe-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
John B.,/user_details?userid=jCfyi8mOBqMJrj_DZFalgg,"New York, NY",8/13/2009,4.0,"46 reviews so far but I'll throw my two cents in too. A word to the wise: Don't come here hungry. If you love good Spanish food, tapas the the like you'll be seventh heaven at this smartly stocked market cum cafe serving the best of the Iberian peninsula. I stumbled upon it and once inside knew I had struck a gold mine of good things to nosh on. I'm not the only smart savvy New Yorker who knows good food in this food-obsessed city of ours [sorry San Francisco, this is the real deal]. Prices skew high but not stratospheric and there's something for everyone to like. Often they have some cheeses and meats on sample and if that won't get you to open your wallet, something else will. I personally could camp out here and eat until they closed - it's that good.",https://www.yelp.com/biz/despa%C3%B1a-fine-foods-and-tapas-cafe-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Allison M.,/user_details?userid=7ldlTUR2jMgEgyazBW2K1g,"Denver, CO",8/9/2014,5.0,This place is awesome. We had the Picante and the Chorizo sandwiches and loved them both. The gazpacho is also amazing. We will be coming back.,https://www.yelp.com/biz/despa%C3%B1a-fine-foods-and-tapas-cafe-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Gary S.,/user_details?userid=WY_GHzI335Qr69EysR5Duw,"Westerville, OH",10/15/2013,4.0,Excellent little place. The tortilla original was light and airy even with the potatoes that were sliced thin. The choriezo in cider was not nearly as spicy as the Mexican version and was also nicely cooked with minimal fat to the meaty sausage. There is a very nice wine shop next door that has just Spanish wines and were well selected as well.,https://www.yelp.com/biz/despa%C3%B1a-fine-foods-and-tapas-cafe-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Kenny L.,/user_details?userid=Wa82CbyQ18SdKJ-8RBXHJQ,"New York, NY",9/7/2010,5.0,No comment,https://www.yelp.com/biz/despa%C3%B1a-fine-foods-and-tapas-cafe-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Jen C.,/user_details?userid=k8S-LkbwbLaTZCuqkFXbQg,"New York, NY",1/24/2010,5.0,No comment,https://www.yelp.com/biz/despa%C3%B1a-fine-foods-and-tapas-cafe-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
A G.,/user_details?userid=KwG3jXgw5HQNT4m86qDhCA,"New York, NY",10/23/2016,5.0,"My friend and I have both been to Spain and wanted to have authentic tapas again. Everything we ordered at Despaña was delicious! Pintxos Majoma and Brandada were two of my favorites. While I might have experienced having tapas in Spain, I was able to appreciate the simplicity of the food, the textures, and the flavors more today (with a nice glass of sangria)!",https://www.yelp.com/biz/despa%C3%B1a-fine-foods-and-tapas-cafe-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Jamie V.,/user_details?userid=EbLQOPwc-aucsiy4wq-pww,"Manhattan, NY",11/30/2014,4.0,I love coming here to pick up hand cut data negra.  Whenever I have time I like browsing here and then enjoying some tapas and wine.,https://www.yelp.com/biz/despa%C3%B1a-fine-foods-and-tapas-cafe-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Bianca C.,/user_details?userid=mD53LkGIeO8uRkCXt0Jt2g,"Manhattan, New York, NY",3/7/2011,5.0,"I don't even know where to begin. Despana's sandwiches consistently bring me to my knees. My friend and I have a system where we'll each order different ones and trade halves, and in my experience you can't go wrong. I think my favorites would have to be the Picante, the Despana, the Gallego, and the Navarrico. I love this place I love my friend I'm glad we have our Spanish sandwich focused ritual.",https://www.yelp.com/biz/despa%C3%B1a-fine-foods-and-tapas-cafe-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Jeff T.,/user_details?userid=_NDbMbZcAkrhkqXQYQn9Nw,"Brooklyn, NY",2/22/2012,4.0,"I must admit, they have one of the amazing selections of assorted Spanish meats and cheeses I've ever seen. Sadly, some of their sandwiches doesn't live up to the ingredients, it almost feels as if they failed to meet their potential. I'd say purchase their products and make your own sandwiches at home!",https://www.yelp.com/biz/despa%C3%B1a-fine-foods-and-tapas-cafe-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Rathore V.,/user_details?userid=JVmmsx4Wkzawn0-jsSZ4Tw,"Hoboken, NJ",7/25/2016,4.0,"Solid food & setting. The tapas match the fare served in Spain. We had the cheese plate, chorizo picante, bread with tomatoes, and the gazpacho. All the dishes were well made and reasonably priced for tapas(America has a confusing concept where tapas are extravagantly priced, whereas it isn't the case in Spain at all, and looks like Despana is trying to mimic to an extent the pricing in Spain) Oh, and to top it all, the Sangria was fantastic!",https://www.yelp.com/biz/despa%C3%B1a-fine-foods-and-tapas-cafe-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
David L.,/user_details?userid=wOQMCB8LWcLQnOdTfIqgxg,"Manhattan, NY",7/19/2015,3.0,"WARNING: those seeking churros con chocolate will not find it here (menu needs to be updated). Having said that, the torta was p good and so was the jamón serrano.",https://www.yelp.com/biz/despa%C3%B1a-fine-foods-and-tapas-cafe-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Alex G.,/user_details?userid=fH3zJ8poRAtOfnMB2nTD0w,"New York, NY",12/5/2016,5.0,"I was so excited when I found this place. Not only is there great prepared food and desserts, but there's also a grocery section where I can find all my favorite things and take them home.",https://www.yelp.com/biz/despa%C3%B1a-fine-foods-and-tapas-cafe-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Stephan H.,/user_details?userid=Y613Y_bhfQDTQXi-kDzOeA,"New York, NY",9/1/2013,3.0,"The sitting area is somewhat cafeteria like and off putting, the snacks are not bad",https://www.yelp.com/biz/despa%C3%B1a-fine-foods-and-tapas-cafe-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Chris F.,/user_details?userid=7LTJEuot-o0Kn7Z8Og2lwQ,"Brooklyn, NY",5/24/2006,5.0,"A Spanish charcuteria on the edge of Little Italy, Despana is a refreshing new addition to the neighborhood.  With bountiful free samples of oils, vinegars, spreads, and other tasties, the lunchtime wait for a bocadillo (sandwich) breezes by.  The bocadillos aren't cheap ($7+) for their relatively small size, but the ingredient quality is immediately apparent on your first bite into a crispy, warm Sullivan St Bakery ciabatta.  The meat & cheese counter looks very appealing, with a wide variety, and although I haven't tried it yet, I can hear the chorizo calling my name...",https://www.yelp.com/biz/despa%C3%B1a-fine-foods-and-tapas-cafe-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Nia R.,/user_details?userid=GFQAEy92Mvff_g83tYewVA,"Fairview, NJ",6/18/2016,5.0,5 stars are not enough. This place is like a bite of Spain right here in NYC. Anything you order I guarantee you will love. Cant wait to go back.,https://www.yelp.com/biz/despa%C3%B1a-fine-foods-and-tapas-cafe-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Angela C.,/user_details?userid=1EkaoefNA83ZJgOzerMdlQ,"Gaithersburg, MD",8/17/2009,4.0,"This place is one of my favorite lunch spots..although seating can be very tight.  There's always olive oil and balsamic vinegar that you can sample.  Sometimes they even have chorizo and dried meats samples!  The sandwiches are delicious.  I highly recommend the picante (chorizo, mahon cheese & peppers served warm) and the despana (serrano ham & goat cheese).  I layoff the tomatoes in both.  The bread for the despana is a bit hard and my jaw gets tired but I still love it.  I heard the tapas are really good too but haven't a chance to try yet.",https://www.yelp.com/biz/despa%C3%B1a-fine-foods-and-tapas-cafe-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Nathan J.,/user_details?userid=o-TMMW8o9tLLMzARuAXQ4A,"New York, NY",1/24/2007,5.0,"If you work or live nearby the sandwiches are an amazing secret. Really really brilliant. 7 bucks is a bargain, considering what they put on there.",https://www.yelp.com/biz/despa%C3%B1a-fine-foods-and-tapas-cafe-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Alexander G.,/user_details?userid=IsVeTPhHe0hpEAOmItIdng,"Manhattan, NY",3/3/2012,5.0,"New York needs more places like this. Well-executed, limited selection, reasonably priced high-quality food products. Prices are really reasonable particularly considering this is Soho. Good selection of little plates to eat in the small space in the back as well.",https://www.yelp.com/biz/despa%C3%B1a-fine-foods-and-tapas-cafe-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Chris K.,/user_details?userid=QWpf0AuyP49DW_ue9uzoAA,"Washington, DC",10/1/2011,4.0,No comment,https://www.yelp.com/biz/despa%C3%B1a-fine-foods-and-tapas-cafe-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Chris L.,/user_details?userid=-peSWOplbo-9aPt3ZJr8QQ,"New York, NY",5/8/2006,4.0,"GREAT place to buy Spanish meats, cheese, dips, oils and sauces - they provide lots of free tastings of their sausages, deli meats, and cheese and are always extremely friendly and knowledgeable. Their ""bocadillo"" sandwiches are also delicious - toasty and crispy on the outside with great fillings on the inside - a tasty lunch option for when you're in the Soho area!",https://www.yelp.com/biz/despa%C3%B1a-fine-foods-and-tapas-cafe-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Yosh H.,/user_details?userid=rfGeOOIHw0wcX3ibAzTqTA,"New York, NY",6/9/2007,4.0,"I came across Despana when I heard rumors of it carrying an aloe vera/rhubarb white chocolate that I was curious to try (Very good but sadly, I bought the last bar before they discontinued stocking it).  But I was very impressed by the inventory of this place.  Whenever I want to utilize my lunch hour for a nice stroll, I always swing by Despana because there is always some free tastings to be had and I'm a big fan of that!  From the sounds of things, I should try some of their sandwiches.",https://www.yelp.com/biz/despa%C3%B1a-fine-foods-and-tapas-cafe-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Sarah K.,/user_details?userid=iSUTxiuPESWCrPN-ruV6ew,"Manhattan, NY",2/22/2010,5.0,No comment,https://www.yelp.com/biz/despa%C3%B1a-fine-foods-and-tapas-cafe-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Brad L.,/user_details?userid=2p2KbKyKONmc7bDbcw649w,"Brooklyn, NY",10/6/2016,4.0,"Service was good. Seated quickly. The food was a little bland but cooked well. I would go back to try again,",https://www.yelp.com/biz/despa%C3%B1a-fine-foods-and-tapas-cafe-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
K N.,/user_details?userid=7ZumQpC_32ifowaeaawClw,"Washington, DC",9/5/2016,5.0,My favourite place to buy Spanish food (esp. Jamon Iberico de Bellota) and wine. Absolutely love this place.,https://www.yelp.com/biz/despa%C3%B1a-fine-foods-and-tapas-cafe-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Jibbin J.,/user_details?userid=r9OrnePUe87cdXCwUhTNIg,"Ventnor City, NJ",3/28/2010,4.0,"My trip to Despana was a cultural experience. I never had Spanish food before. Spanish meaning food from Spain. It was quite different from the Puerto Rican or Colombian dishes that I was use to. As I walked through the door my mouth started to water. The smell was enticing. My vision was filled with fancy bottles of jams, cheeses, and oils. I want it all !! Quickly I began to search for the tables and a menu. I finally found the tables all the way in the back, along with the menu. First thought was, so many choices to choose from. What do i choose? Tortilla & idiazabal and chorizo in apple cider was the first things that I ordered. It was sort of a potato cheese with cured ham mini sandwich. It was quite a treat especially the chorizo . This made me quickly go back to the counter to order more things. Next up was Quijote. If there's anything to try this is it. Dry cured pork loin (lomo) with Manchego cheese and quince spread. Wow!! The flavor of the pork, cheese and quince blended so well together. It was such a delight that I had to take small bites so that I could savior the taste. Check the pictures it ll make your mouth water too!!",https://www.yelp.com/biz/despa%C3%B1a-fine-foods-and-tapas-cafe-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Sara J.,/user_details?userid=PQPdRhrKAJajETHtC0BV0A,"New York, NY",8/21/2013,2.0,No comment,https://www.yelp.com/biz/despa%C3%B1a-fine-foods-and-tapas-cafe-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Michael H.,/user_details?userid=fS4RwIuy5XEwAfI9zVdB1Q,"Manhattan, NY",2/24/2016,4.0,"I love Spanish food and after our recent trip to Barcelona, my wife and I have been dying to find good authentic pintxos in New York.  Though not quite up to par with our tapas/pintxos crawl around El Born, this place satisfied our fix.  We tried LOTS of their pintxos and they were all quite good.  I would specifically recommend anything with ham or chorizo.  The goat cheese and carmelized onions pintxo was also quite good.  If you're really hungry it can get expensive but it's a great stop for a small bite.  We will most definitely return.  They also sell Estrella Galicia beer, which is great on a hot day.",https://www.yelp.com/biz/despa%C3%B1a-fine-foods-and-tapas-cafe-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
April C.,/user_details?userid=sg9fpm9tLglEXZDos7l3uA,"San Diego, CA",1/11/2009,3.0,"I love tapas! I was so excited to try yhis restaurant, it gets great reviews and is close to work for me.  I was shocked with the price of the food, lunch cost me $18!  The best item I had was the bacalao, which was amazing. I don't think I will return just based on the price alone. Good but not great.",https://www.yelp.com/biz/despa%C3%B1a-fine-foods-and-tapas-cafe-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Z B.,/user_details?userid=sal03Ozax7WhFPcACspDZQ,"Manhattan, NY",8/16/2014,4.0,"Friendly staff. Delicious selection of meats and cheeses. Sandwiches on the heavy side, yet surprisingly satisfying.",https://www.yelp.com/biz/despa%C3%B1a-fine-foods-and-tapas-cafe-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Julio A.,/user_details?userid=3X9qmiJk0g921jjVFgWMUw,"Manhattan, NY",6/29/2016,5.0,Made a large order for a gift to our planner. The produce they have is just excellent and I was very happy with their flexibility and professionalism managing my shipping requirements.,https://www.yelp.com/biz/despa%C3%B1a-fine-foods-and-tapas-cafe-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Diana N.,/user_details?userid=0iIcGe7oyOW9CcFLIL74wQ,"Flushing, NY",3/20/2016,4.0,A great place for Spanish tapas.  A small place but great service.  Even though you order at the counter they bring the food to you.  They place is very clean.  There's also a great selection of wine at the wine store.  The food taste great and authentic.,https://www.yelp.com/biz/despa%C3%B1a-fine-foods-and-tapas-cafe-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Rindy N.,/user_details?userid=5Smhh5LOUd4xs1hAa_EiSA,"Manhattan, NY",3/16/2012,5.0,No comment,https://www.yelp.com/biz/despa%C3%B1a-fine-foods-and-tapas-cafe-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Vlad O.,/user_details?userid=kqnwmoI0TUN9OTJYH8yUzA,"New York, NY",4/14/2009,3.0,No comment,https://www.yelp.com/biz/despa%C3%B1a-fine-foods-and-tapas-cafe-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Tim W.,/user_details?userid=q01khtt3I3bWBvHGxwA6vA,"Manhattan, NY",7/17/2011,5.0,"Looking for top notch european delights and unique ingredients that you remember eating when you were in europe and JUST CANT SEEM TO FIND IN THE US?  well come to despana and you'll find all those wonderful little additions to the food that you are looking for...spicy anchoives, baby cuttlefish, chopped clams, ventresca tuna, canned (in glass) flat beans, cheeses, fresh jamon (up to 168$ per pound mind you).  Talk about a wonderful place to come to get a picnic in the park together.  The staff is SOOOOO friendly, and they are totally on Spanish time...you'll see what that means when you come!",https://www.yelp.com/biz/despa%C3%B1a-fine-foods-and-tapas-cafe-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Donte P.,/user_details?userid=fn9_4dRF9jPQ0WUdA-Lihw,"Seattle, WA",5/30/2007,5.0,"I'm sure i'm a little biased since I fell in love with Barcelona last year and had just gotten off a cross-continental flight, but this is the one thing I keep talking about from my last trip to NYC.  I don't even remember the details on the sandwich I bought, I just remember that it was dense & delicious, the deuce.  Grabbed that and a Sprite and was set for hours of walking around.  Oh how I long to return there.  And I shall - someday.  If you're near it, go by.  It's worth it.  I'm jealous of anyone that works in the area, since they get to enjoy this godsend on a regular basis.",https://www.yelp.com/biz/despa%C3%B1a-fine-foods-and-tapas-cafe-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Michelle L.,/user_details?userid=t1klseTOhjGH6XAPdQ1J0A,"NY, NY",9/3/2009,5.0,No comment,https://www.yelp.com/biz/despa%C3%B1a-fine-foods-and-tapas-cafe-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Suzanne B.,/user_details?userid=rUr0LbmJvvtSOXM4914K_g,"Chicago, IL",1/17/2013,5.0,"Wow, what a find. Someone once described this place to me as a much smaller Spanish version of Eataly...I would tend to agree.  Ordered tapas from the counter and it's nearly impossible to choose among a menu filled with chorizo and manchego featured treats. Meats and cheese are my passion so this meal was perfection. Conveniently located right next store is a wine shop with wonderful selection and super helpful staff. We brought our selection back next door to enjoy with plenty of tapas and tortilla. The eating area is on the smaller side but we were able to sit and enjoy from noon to one on a Saturday. There is no formal table service but the woman at the counter kindly brought our food over and uncorked our wine. Chorizo and chestnuts were the highlight of the menu but everything was mouth-watering!",https://www.yelp.com/biz/despa%C3%B1a-fine-foods-and-tapas-cafe-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Josh M.,/user_details?userid=1EpofcEESLqirUh6fq1fgA,"Brooklyn, NY",6/16/2016,5.0,Good stuff. Very hearty meal. Love picante sand which. What like the most is their meal pairing options. Your provided with fine foods you can't really find anywhere else. Very courteous with your meal order. This is now a new fav spot.,https://www.yelp.com/biz/despa%C3%B1a-fine-foods-and-tapas-cafe-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Sam N.,/user_details?userid=hw_x1jQATDO4_LUsm74kHQ,"Manhattan, NY",3/17/2011,5.0,No comment,https://www.yelp.com/biz/despa%C3%B1a-fine-foods-and-tapas-cafe-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Dennis S.,/user_details?userid=q5oaYeYKRa_TdRrsNL9ZWg,"New York, NY",7/24/2009,4.0,No comment,https://www.yelp.com/biz/despa%C3%B1a-fine-foods-and-tapas-cafe-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Priya S.,/user_details?userid=7qfKORwu-ndAcWzRyLH9hA,"San Francisco, CA",4/18/2012,4.0,"Great lunch, great prices, wonderful area to sit in and enjoy said lunch. Had a meeting here today. The staff was highly personable and brings you all your food after you order. The blood sausage I had was incredibly delicious and nutritious. Don't be afraid to try it- it does not taste overly ""meaty' or like iron. I also had a Serrano Ham salad and it was bursting with flavor, meat, cheese and greens. Very good value & will be back!",https://www.yelp.com/biz/despa%C3%B1a-fine-foods-and-tapas-cafe-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Jeanette C.,/user_details?userid=1KKqr_iBFJPZkHDyYIJDxw,"Los Angeles, CA",10/31/2008,5.0,"Some friends and i stumbled across this wonderful place on a walk home from Chinatown.... We had some Cortados, bought some olive oil and soem Kas for our vodka limons.. next time im out there i will try the bocadillos and update my review!",https://www.yelp.com/biz/despa%C3%B1a-fine-foods-and-tapas-cafe-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Audrey B.,/user_details?userid=8XaZC1Klew-nxcfB5bAwYQ,"Boston, MA",10/16/2011,4.0,"This store is very pleasant. The staff is friendly, and helped me to pick out a great spanish cheese to pair with my dinner. and the serrano ham was delicious.",https://www.yelp.com/biz/despa%C3%B1a-fine-foods-and-tapas-cafe-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Justin K.,/user_details?userid=__JQWIZFElaxdvyf0rCgCQ,"Seattle, WA",9/21/2011,4.0,"Finally stopped into Despaña for a sandwich. Staff was friendly, service was fast, and the ingredients were fresh. I'll definitely be going back and trying more items on the menu. Great lunch spot if you're out and about in soho.",https://www.yelp.com/biz/despa%C3%B1a-fine-foods-and-tapas-cafe-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Danny A.,/user_details?userid=quF-nRW1W5zNd-yrWqbynA,"Brooklyn, NY",1/29/2012,5.0,Truly amazing! feels & taste like your back in Spain..,https://www.yelp.com/biz/despa%C3%B1a-fine-foods-and-tapas-cafe-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Monsieur B.,/user_details?userid=5P0aGryQRZkSFIMUHWMoGA,"Washington, DC",2/21/2008,5.0,No comment,https://www.yelp.com/biz/despa%C3%B1a-fine-foods-and-tapas-cafe-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Emily G.,/user_details?userid=RTqizCmVGve5AKMN_pNwwQ,"Providence, RI",8/10/2012,4.0,"Great, authentic Spanish foods and very delicious sandwiches. Love stopping in here for a sandwich with my husband, who is Spanish and also gives this place the thumbs up.",https://www.yelp.com/biz/despa%C3%B1a-fine-foods-and-tapas-cafe-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Kabir S.,/user_details?userid=h9IGQKjR-w8PcAX7Ul2wXw,"Brooklyn, NY",1/22/2009,4.0,No comment,https://www.yelp.com/biz/despa%C3%B1a-fine-foods-and-tapas-cafe-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
John G.,/user_details?userid=M-xophkPdNriQRSe46dm2Q,"Silverdale, WA",7/29/2013,4.0,Awesome food.  I don't know how else to say it.  Give this place a shot for sure.,https://www.yelp.com/biz/despa%C3%B1a-fine-foods-and-tapas-cafe-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
